id,temperature,air_quality,humidity
855,27.4,69.5,41.0
1063,30.9,48.4,40.0
1456,29.8,52.1,45.0
799,27.2,66.5,39.0
407,25.2,59.0,39.0
1335,35.2,48.1,39.0
878,24.9,59.2,44.0
1057,30.4,49.3,43.0
1178,33.2,53.9,35.0
1206,34.9,47.0,36.0
1353,35.7,47.1,40.0
521,27.6,69.4,39.0
707,27.8,74.9,37.0
1109,31.6,57.0,38.0
1185,33.7,53.0,36.0
712,27.4,69.3,42.0
1081,31.4,50.5,37.0
1409,33.8,56.0,39.0
1343,35.4,47.7,39.0
957,27.1,68.5,34.0
927,26.1,59.9,43.0
1275,32.9,56.8,43.0
1040,29.2,50.1,43.0
998,27.5,71.6,40.0
410,24.9,58.1,38.0
1119,31.6,58.7,38.0
721,25.8,61.6,47.0
817,27.4,68.4,41.0
1386,34.1,54.1,42.0
1371,34.6,52.4,42.0
1244,33.3,55.1,39.0
1094,31.6,54.6,38.0
515,27.5,68.7,39.0
446,25.6,61.6,38.0
1366,34.9,50.8,42.0
352,27.2,71.2,29.0
1332,35.0,48.7,38.0
545,27.7,73.3,34.0
693,27.8,73.6,41.0
603,25.9,58.8,48.0
733,25.3,58.2,45.0
706,27.8,74.7,38.0
907,26.7,59.5,42.0
1401,33.9,55.0,41.0
962,27.1,69.7,43.0
835,27.4,71.1,41.0
376,27.3,73.4,31.0
326,26.3,61.3,29.0
1379,34.3,53.3,43.0
807,27.3,67.9,38.0
694,27.8,73.7,38.0
502,27.2,64.7,40.0
1078,31.4,49.3,38.0
531,27.7,70.9,41.0
1106,31.6,56.9,38.0
1391,34.0,54.2,42.0
1193,34.3,49.4,36.0
652,27.5,68.0,38.0
1034,28.7,51.2,46.0
610,26.7,59.4,46.0
1331,34.9,49.1,38.0
770,26.4,58.5,44.0
1130,31.6,58.7,39.0
584,25.1,57.7,47.0
1310,33.4,56.5,37.0
516,27.6,68.8,39.0
473,26.0,65.8,34.0
1044,29.5,50.7,43.0
716,26.5,66.4,47.0
1017,24.7,58.4,46.0
1444,29.1,50.5,48.0
880,25.1,60.1,43.0
1336,35.3,48.0,38.0
1340,35.3,47.7,39.0
1419,33.6,56.6,41.0
520,27.6,69.6,38.0
346,27.1,70.1,29.0
1090,31.5,53.7,38.0
823,27.4,69.0,43.0
1493,30.8,49.7,44.0
403,25.7,62.7,38.0
1212,34.9,48.0,38.0
879,25.0,59.9,44.0
1091,31.6,53.8,38.0
556,27.8,73.7,39.0
325,26.1,60.7,29.0
630,27.8,59.7,46.0
915,26.4,60.5,42.0
702,27.8,74.3,38.0
481,27.0,59.6,47.0
1155,31.7,61.7,42.0
332,26.8,64.9,29.0
961,27.1,69.6,42.0
1469,30.3,51.3,45.0
1146,31.6,60.2,39.0
877,24.8,59.7,43.0
1480,30.8,50.5,44.0
1001,26.6,68.0,45.0
1272,32.9,56.8,43.0
504,27.3,65.9,40.0
1290,32.8,58.7,40.0
1014,24.7,58.9,46.0
825,27.4,69.6,42.0
1397,33.9,54.4,42.0
789,26.8,62.4,41.0
1171,32.6,56.7,35.0
1062,30.9,48.2,41.0
567,27.7,70.7,39.0
333,26.8,65.9,28.0
774,26.7,59.4,41.0
591,25.4,58.4,48.0
1270,32.9,56.9,43.0
700,27.8,74.3,38.0
1120,31.6,58.9,37.0
658,27.6,69.7,37.0
1084,31.5,52.1,38.0
442,25.6,61.7,39.0
1186,33.8,52.4,37.0
1438,29.9,51.8,49.0
399,26.3,67.0,37.0
645,27.3,63.1,41.0
781,26.5,58.7,44.0
433,25.0,59.0,38.0
1359,35.3,47.4,40.0
1410,33.7,56.1,41.0
1445,29.2,51.0,47.0
1175,32.9,55.7,36.0
1441,29.3,49.4,49.0
